id,privacy_api_class,privacy_api_method,privacy_api,description
267,android.bluetooth.BluetoothLeAudio,getDevicesMatchingConnectionStates,,Required to be able to connect to paired Bluetooth devices.
268,android.telephony.TelephonyManager,getDeviceSoftwareVersion,Landroid/telephony/TelephonyManager;.getDeviceSoftwareVersion:()Ljava/lang/String;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
269,android.bluetooth.BluetoothAdapter,getDiscoverableTimeout,,Required to be able to discover and pair nearby Bluetooth devices.
270,android.hardware.SensorManager,getDynamicSensorList,Landroid/hardware/SensorManager;.getDynamicSensorList:(I)Ljava/util/List;,
271,android.location.LocationManager,getGpsStatus,Landroid/location/LocationManager;.getGpsStatus:(Landroid/location/GpsStatus;)Landroid/location/GpsStatus;,"Allows an app to access precise location. Alternatively, you might want  ACCESS_COARSE_LOCATION"
272,android.bluetooth.BluetoothLeAudio,getGroupId,,Required to be able to connect to paired Bluetooth devices.
273,android.telephony.TelephonyManager,getGroupIdLevel1,Landroid/telephony/TelephonyManager;.getGroupIdLevel1:()Ljava/lang/String;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
274,android.telephony.TelephonyManager,getImei,Landroid/telephony/TelephonyManager;.getImei:()Ljava/lang/String;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
275,android.telephony.TelephonyManager,getImei,Landroid/telephony/TelephonyManager;.getImei:(I)Ljava/lang/String;,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
276,android.content.pm.PackageManager,getInstalledApplications,Landroid/content/pm/PackageManager;.getInstalledApplications:(I)Ljava/util/List;,"Allows query of any normal app on the device, regardless of manifest declarations."
